no.,crash_year,crash_month,crash_date,crash_hour,crash_minute,crash_area,crash_country,operator,flight,crash_route_start,crash_route_mid,crash_route_end,type,registration,fuselage_number,aboard,fatalities,ground,summary,crash_reason,survived,crash_survivor,crash_opr_type,lon,lat,
1702,1961,5,24,2,0,Near Tacoma,USA,Military - U.S. Air Force,NA,NA,NA,NA,Douglas C-124A-DL,510174,43508,113,112,0,Crashed shortly after taking off from McChord Air Force base.,miscellaneous,1,alive,Military,-122.4442906,47.2528768,
1703,1960,12,16,13,33,Staten Island / Brooklyn,USA,United Air Lines / Trans World Airlines,826/266,Chicago , New York City / Columbus , New York City,MD DC-8-11 / Lockheed  1049 S Const,N8013UN6907C,45290 /4021,34,42,6,"A midair collision took place over Staten Island at 5,000 ft. The Connie was cleared to land at La Guardia Airport on Runway 04 when the United DC-8 struck the Connie tearing it apart. The Connie immediately crashed to the ground at Miller Army Air Field on Staten Island. One passenger was sucked out into one of the DC8s jet engines. Other passengers fell from the Connie as the spinning fuselage fell onto Staten Island. The United jet tried to make an emergency landing at La Guardia Airport but could not maintain altitude and crashed into the streets of Brooklyn. Forty-four passengers on the Constellation and eight-four passengers on the DC-8 were killed. Three passengers from the DC-8 died shortly after. One young boy, Stephen Baltz survived several days before succumbing to his injuries. Six people were also killed on the ground. The United crew entered a low-altitude holding pattern at 500 miles per hour, twice the speed it should have been going and flew past the clearance limits and airspace allocated to the flight. One of 2 VORs on the DC-8 was not functioning. Although the crew knew this, they failed to report this to the ATC, who probably would have provided extra radar assistance.",technical_failure,0,dead,Civilian,-74.0354939,40.6826479,
1704,1960,12,17,19,10,Munich,Germany,Military - U.S. Air Force,NA,Munich ," Northolt AB, England",NA,Convair C-131D (CV-340-79),55291,212,103,105,31,"The aircraft lost an engine on takeoff from Munich. Unable to maintain height, it crashed into St. Paul's Cathedral church and into a business section of the city killing 31 on the ground. A collection of water was found in the fuel tank booster pump.",technical_failure,0,dead,Military,11.5819805,48.1351253,
1705,1960,12,22,16,31,Cebu City,Philippines,Philippine Air Lines,S85,Cebu , Davao,NA,Douglas DC-3,PIC126,20593,170,141,0,Crashed on takeoff. Failure of the No. 1 engine shortly after take-off but after V2. Inappropriate emergency procedures by crew.,technical_failure,29,alive,Civilian,123.8854366,10.3156992,
1706,1961,1,2,2,0,Ruzyne,Czechoslovakia,Ceskoslovenske Aerolinie,NA,NA,NA,NA,Avia 14,OKMCZ,105807110,3,5,0,"Unable to gain altitude, the aircraft crashed into power cables during takeoff.",technical_failure,0,dead,Civilian,14.3128001,50.0904274,
1707,1961,1,3,36,40,Koivulahti, Finland,Finnair,311,Kokkola , Vaasa,NA,Douglas DC-3,OHLCC,14066/25511,126,126,0,"Crashed into woods while attempting to land. Both pilots tested positive for alcohol.  In addition, the pilot did not have enough sleep the night before and was not considered to be in satisfactory mental and physical condition to undertake the flight.",technical_failure,0,dead,Civilian,21.8418931,63.1606218,
1708,1961,1,19,27,25,New York,USA,Aeronaves de Mexico,401,New York , Mexico City,NA,McDonnell Douglas DC-8-21,XAXAX,45432/105,10,169,0,"An aborted takeoff caused the aircraft to crash through the airport barrier fence and burst into flames. The unnecessary discontinuance of the takeoff as a result of actions by the check-pilot who was either not in the pilot's seat or reached forward without warning and pulling the throttles back. This action caused power to be decreased on all four engines. Contributing factors were the marginally poor weather, snow on the runway and the possibility of the pitot head heat not being on.",technical_failure,0,dead,Civilian,-74.0059728,40.7127753,
1709,1961,1,22,12,40,Midway Island Naval Air Station,NA,Military - U.S. Navy,NA,NA,NA,NA,Lockheed WV-2 Super Constellation,BU143193,4467,113,205,3,"While returning from an aborted barrier mission, the aircraft hit a seawall at end of short runway. The main landing geart was sheared off and the aircraft cartwheeled, slid into a vehicle, exploded and burned.",technical_failure,0,dead,Military,-177.3803724,28.2020857,
1710,1961,1,24,26,48,Mt. Burangrang,Indonesia,Garuda Indonesia Airlines,424,Jakarta , Bandung,NA,Douglas DC-3,PKGDI,19672,107,108,0,The aircraft struck Mt. Burangrang . Attempt by the pilot to fly over mountainous terrain when unsure of his position and in weather conditions which severely restricted visibility.,natural_cause,0,dead,Civilian,107.5555556,-6.7741667,
1711,1961,1,26,2,0,Off Argentia,Argentina,Military - U.S. Air Force,NA,Azores ," Argentia,Newfoundland",NA,Douglas C-118A,5117626,43670,120,119,0,Exploded and cashed crashed into the AtlantiOcean approximately 25 miles northeast of the Azores.,miscellaneous,1,alive,Military,-63.616672,-38.416097,
1712,1961,1,28,17,0,Off Montauk Point,USA,American Airlines,NA,Training,NA,NA,Boeing 707-123,N7502A,17629/8,200,205,0,Crashed into the AtlantiOcean and exploded.,miscellaneous,0,dead,Civilian,-71.9545146,41.0359353,
1713,1961,2,3,31,55,Off Surabaya,Indonesia,Garuda Indonesia Airlines,542,Surabaya , Balikpapan,NA,Douglas DC-3,PKGDY,13052,132,131,0,Disappeared while en route. The wreckage was never found. It is believed the aircraft crashed into the sea off the island of Madura.,miscellaneous,1,alive,Civilian,112.7520883,-7.2574719,
1714,1961,2,15,13,5,Near Brussels,Belgium,Sabena,548,New York City , Brussels,NA,Boeing B-707-320,OOSJB,17624/92,215,225,1,"The aircraft was about to touchdown on the runway when engine power was increased and the aircraft climbed to 1,500 ft. The aircraft completed 3 left-hand circles. Its attitude increased until it nosed down and crashed. The entire eighteen member U.S. Figure Skating team killed.  Failure of the aircraft's flying controls, possibly jamming of the outboard ailerons or unwanted extension of the spoilers.",miscellaneous,0,dead,Civilian,4.3517103,50.8503396,
1715,1961,3,9,20,0,Near Caracas,Venezuela,Linea Aeropostal Venezolana,NA,San Antonio,Maiquetia,NA,Douglas DC-3,YVCAZQ,19986,25,31,0,Crashed while en route. Navigation error. Failure of the crew to follow the prescribed route. Flying VFR in IFR conditions.,miscellaneous,0,dead,Civilian,-66.9036063,10.4805937,
1716,1961,3,25,2,0,Near Natal,Brazil,Military - Brazilian Air Force,NA,Rio de Janerio , Belem,NA,Douglas C-47DL,C472055,4473,142,119,0,Crashed while attempting to land.,miscellaneous,23,alive,Military,-35.200916,-5.7792569,
1717,1961,3,28,27,8,Russelbach,Germany,Ceskoslovenske Aerolinie,NA,Prague , Zurich,NA,Ilyushin IL-18,OKOAD,180002102,191,194,0,The aircraft crashed 13.6 miles Northeast of Nürnberg after an intentional descent for unknown reasons led to the disintegration of the aircraft due to structural stress. Possible defective artificial horizon. Possible unnoticed over control of the electrical rudder or aileron trim. Possible physical incapacitation of one or both pilots.,miscellaneous,0,dead,Civilian,11.256389,49.606944,
1718,1961,5,29,2,0,Singapore,NA,Military - Royal Air Force,NA,NA,NA,NA,Handley Page Hastings C-2,WD497,NA,36,44,0,"Lost an engine, stalled and crashed.",miscellaneous,0,dead,Military,103.819836,1.352083,
1719,1961,5,30,12,20,Near Lisbon,Portugal,KLM Royal Dutch Airlines,897,Rome  , Lisbon ,  Madrid ,McDonnell Douglas DC-8-53,PHDCL,45615,202,208,0,"Five minutes after taking off from Lisbon, Portugal, the aircraft plunged into the AtlantiOcean. There were indications from the wreckage that the aircraft went into a spiral dive and hit the water at over 500 mph. Either through inattentiveness or loss of an artificial horizon or other instrument malfunction, the aircraft went into a steep left bank from which recovery was not possible. Attitude of the aircraft at the moment of impact pointed to over correction.",miscellaneous,0,dead,Civilian,-9.1393366,38.7222524,
1720,1961,6,12,33,11,Cairo,Egypt,KLM Royal Dutch Airlines,823,Rome , Cairo,NA,Lockheed L-188C Electra,PHLLM,2019,169,105,0,"Crashed into power lines during the approach, 4 km short of the runway. Crew's neglect to cockpit duties.",miscellaneous,64,alive,Civilian,31.2357116,30.0444196,
1721,1961,6,17,29,23,Near Kano,Nigeria,Continentale Deutsche Luftreederei,NA,Tripoli , Kano,NA,Douglas C-54B-1-DC,DABEB,10530,212,3,0,"Error in judgement on the part of the captain, who, after sighting the runway lights, concentrated on keeping them in sight and failed to make adequate reference to his flight instruments. As a result, he allowed the aircraft to descend below the obstacle clearance limit of 360ft.  In the darkness, with no ground reference, the runway lights gave him insufficient guidance as to his height and angle of approach and he was unaware that the aircraft had descended to ground level. The fatigue of the captain and the failure to illuminate the aircraft's landing lights were conributing factors.",technical_failure,209,alive,Civilian,8.5919561,12.0021794,
1722,1961,6,30,27,57,Buenos Aires,Argentina,Transcontinental,NA,Salta , Cordoba , Buenos Aires,Curtiss C-46A,LVFTO,193,167,124,0,Crashed into a trees and telegraph poles on final approach.The pilot failed to follow the instrument approach procedures during the approach.,technical_failure,43,alive,Civilian,-58.3815591,-34.6036844,
1723,1961,7,10,2,0,Odessa,Ukraine,Aeroflot,NA,NA,NA,NA,Tupolev TU-104B,CCCP42447,NA,229,3,0,Hit apporach lights while trying to land in heavy rain.,miscellaneous,226,alive,Civilian,30.7233095,46.482526,
1724,1961,7,11,14,36,Denver,USA,United Air Lines,859,Omaha , Denver,NA,McDonnell Douglas DC-8-12,N8040U,45307,28,82,1,"Following takeoff from Omaha, hydraulidifficulties were experienced. The flight was continued to Denver where the aircraft experienced asymmetrical reverse thrust while landing and crashed into a maintenance truck and burned. Asymmetrical thrust during the landing attempt due to a hydrauliemergency.  Numbers 1 & 2 thrust reversers failed.  The crew failed to activate the back-up high-pressure air bottle used to hold the reverse ejectors in the extended position during a hydrauliemergency.  Poor evacuation procedures.  A contributing factor was the  failure of the first officer to monitor the thrust reverse indicator lights when applying reverse thrust and the crew's lack of training and knowledge on the aircraft's hydraulisystem. The driver of the maintenance truck was killed.",technical_failure,0,dead,Civilian,-104.990251,39.7392358,
1725,1961,7,12,12,29,Casablanca,Morocco,Ceskoslovenske Aerolinie,NA,Zurich , Rabat,NA,Ilyushin IL-18B,OKPAF,181002904,215,225,0,"On reaching Rabat, the plane was diverted to Casablanca because of poor ground visibility. Conditions at Casablanca were a little better but the plane overshot the runway on its first approach. With worsening conditions the pilot asked to land at the U.S. Air Force base at Nouasseur. While the tower was seeking permission, the pilot saw a window of opportunity and tried again to land at Casablanca. The aircraft crashed into a hillside and burned eight miles short of the runway.",technical_failure,0,dead,Civilian,-7.5898434,33.5731104,
1726,1961,7,19,37,0,Near Azul,Argentina,Aerolineas Argentinas,NA,Buenos Aires , Comodoro,NA,Douglas DC-6,LVADW,43136,209,216,0,The aircraft disintegrated in flight following the application of loads in excess of the design loads. The aircraft entered an area of extreme turbulence and was struck by lightning.,miscellaneous,0,dead,Civilian,NA,NA,
1727,1961,7,21,26,11,Shemya,USA,Alaska Airlines,NA,Seattle , Shemya AFB,NA,Douglas DC-6A,N6118C,45243/919,200,205,0,"Undershot the runway by 200 feet, crashed and burned. Absence of approach and runway lights. Lack of guidance from air trafficontroller during last stages of flight.",miscellaneous,0,dead,Civilian,174.1123656,52.7228375,
1728,1961,8,6,2,0,Budapest, Hungary,Malev Hungarian Airlines,NA,NA,NA,NA,Douglas DC-3,HATSA,20492,138,137,3,The aircraft crashed between a row of houses while on a sightseeing flight. Inattention of crew to duties. Pilots had 2 companions in the cabin during the entire flight and performed forbidden maneuvers including one sharp turn which resulted in  lost control of the aircraft.,miscellaneous,1,alive,Civilian,19.040235,47.497912,
1729,1961,8,9,22,30,Sola,Norway,Cunard Eagle Airways,NA,London , Sola,NA,Vickers Viking 3B,GAHPM,152,173,167,0,Crashed into a mountain18 nm northeast of Stravanger Airport.  Deviation from prescribed course. Cause unknown.,miscellaneous,6,alive,Civilian,5.664386471,58.88802925,
1730,1961,8,13,2,0,Near Pha Khao,Laos,Air America,NA,NA,NA,NA,Curtiss C-46F,B136,22465,200,205,0,The cargo plane struck a mountain while dropping supplies.,mountain_crash,0,dead,Civilian,102.0032957,17.0502119,
1731,1961,8,29,23,22,Sondreströmfjord,Greenland,Eastern Provincial Airways,NA,NA,NA,NA,de Havilland Canada DHC-3 Otter,CFMEX,NA,200,3,0,"An in-flight fire, initiated and sustained by a severe fuel leak. The fuel leak was caused by the locking of a carburetor drain plug to unscrew.",miscellaneous,197,alive,Civilian,NA,NA,
1732,1961,9,1,26,5,Near Hinsdale,USA,Trans World Airlines,529,Chicago , Las Vegas,NA,Lockheed 049 Constellation,N86511,2035,221,233,0,The aircraft crashed and burned in a field 10 miles west of Midway Airport. The airliner had taken off from Midway headed for Las Vegas. Loss of a 5/16 inch steel bolt from the elevator boost system which caused the elevator to move to its full upward position creating a stall and loss of control of the aircraft.,technical_failure,0,dead,Civilian,-87.9370052,41.8008642,
1733,1961,9,5,2,0,Near Sendafar,Ethiopia,Ethiopian Airlines,NA,Addis Ababa , Asmara,NA,Douglas DC-3,ETT16,13305,95,188,0,Malfunctioning propeller. The pilot tried to turn back for an emergency landing but crashed.,technical_failure,0,dead,Civilian,38.9016652,15.2850027,
1734,1961,9,6,2,0,Cerro del Aernal,Costa Rica,Lineas Aéreas Costarricenses,NA,NA,NA,NA,Douglas DC-3,TI1006C,4960,102,103,0,Cargo plane crashed.,miscellaneous,0,dead,Civilian,-98.5830907,22.7581794,
1735,1961,12,29,2,0,Surabaya,Indonesia,Garuda Indonesia Airlines,NA,NA,NA,NA,Douglas DC-3,PKGDZ,12514,45,52,0,NA,miscellaneous,0,dead,Civilian,112.7520883,-7.2574719,
1736,1961,9,10,32,55,Shannon,Ireland,President Airlines,NA,Shannon , Gander,NA,Douglas DC-6B,N90773,44058/365,227,241,0,The aircraft crashed into the Shannon River shortly after taking off in fog. Possible fault with the artificial horizon or aircraft's aileron tabs. Contributing factor was the weather and crew fatigue.,natural_cause,0,dead,Civilian,-8.880996829,52.70687668,
1737,1961,9,12,29,9,Near Rabat, Morrocco,Air France,2005,Paris , Rabat,NA,Sud-Aviation Caravelle III,FBJTB,68,220,231,0,"The aircraft crashed and burned while attempting to land at Sale Airport. With its landing gear down and flaps partially extended, the plane struck the ground in a slight nose-down attitude. Possible misread altimeter.",technical_failure,0,dead,Civilian,-6.8498129,33.9715904,
1738,1961,9,17,29,13,Ndola, Zambia,United Nations Organization,NA,Leopoldville , Ndola,NA,Douglas DC-6B,SEBDY,43559,66,74,0,"The aircraft crashed into the jungle approximately 9 miles from the destination airport. UN Secretary General, Dag Hammarskjöld, 56, killed. The aircraft was allowed to descend too low, resulting in striking trees and crashing. Although the United Nations released a statement that no evidence of sabotage was found, rumors persist about this accident alleging that the victims were shot prior to the crash or that a bomb onboard exploded.",miscellaneous,0,dead,Civilian,28.6498144,-12.9906407,
1739,1961,9,17,37,57,Chicago,USA,Northwest Orient Airlines,706,Chicago , Tampa,NA,Lockheed 188C  Electra,N137US,1142,170,163,0,"Takeoff and Initial climb appeared to be normal, but at approximately 200 feet a shallow turn to the right continued into a gradually increasing bank of about 85 to 90 degrees. While in the turn, the crew made a short, garbled transmission indicating alarm. During the latter part of the turn a gradual descent began and, two minutes after taking off, the aircraft struck the ground. Mechanical failure in the aileron primary control system due to an improper replacement of the aileron boost assembly, resulting in a loss of lateral control of the aircraft at an altitude too low to effect recovery.",miscellaneous,7,alive,Civilian,-87.6297982,41.8781136,
1740,1961,9,23,23,2,Ankara,Turkey,Turkish Airlines (THY),NA,Adana , Ankara,NA,Fokker F-27 Friendship 100,TCTAY,10182,143,141,0,"Crashed into high terrain on approach, 18 kms from Ankara Airport. The aircraft was not in a normal flying  pattern and below normal altitude.",miscellaneous,2,alive,Civilian,32.8597419,39.9333635,
1741,1961,10,7,26,0,Mt. Canigou,France,Derby Aviation,NA,London , Perpignan,NA,Douglas DC-3,GAMSW,16171/32919,163,158,0,Crashed into Mt. Canigou while descending to land. Navigational error.,miscellaneous,5,alive,Civilian,2.456656,42.5188823,
1742,1961,10,10,2,0,El Adem, Libya,Military - Royal Air Force,NA,NA,NA,NA,Handley Page Hastings C-2,WD498,NA,170,82,0,The plane stalled and crashed during takeoff.,technical_failure,88,alive,Military,23.9179589,31.8586974,
1743,1961,11,1,19,26,Les Prevosts,Guernsey,Bristol 170 Freighter 31M,NA,Cherboug , Les Prevosts,NA,Silver City Airways,GANWL,13260,3,103,0,Failed to gain altitude after a missed approach and crashed. The malfunctioning of the automatipitch coarsening unit of the starboard propeller. This deprived the captain of the necessary degree of control of the aircraft at a critical stage of the flight.,miscellaneous,0,dead,Civilian,-2.6020901,49.4469581,
1744,1961,11,1,26,15,Near Recife,Brazil,Panair do Brasil,NA,Lisbon , Ilha do Sal , Recife,Douglas DC-7C,PPPDO,44872,182,179,0,"The flight crashed into a hill during approach. Pilot error. Improper evaluation of distance, flying a non-standard traffipattern by night and failing to observe altitude minima during the final approach.",miscellaneous,3,alive,Civilian,-34.9286096,-8.0522404,
1745,1961,11,8,28,24,Near Richmond,USA,Imperial Airways,201/8,Baltimore , Columbia SC,NA,Lockheed C-69 Constellation,N2737A,1976,222,231,0,"Flown under a military contract, several procedural errors by the crew caused the loss of 2 engines. After several more errors, the aircraft crashed into a wooded area. Most deaths from post-impact fire and CO.  Lack of command coordination and decision, faulty judgement and insufficient knowledge that led to an emergency situation. In addition there were faulty maintenance procedures. The carrier's license was revoked 6 weeks after the crash.",military action,0,dead,Civilian,-77.4360481,37.5407246,
1746,1961,11,11,2,0,Off Puerto Rico,NA,Air Haiti International,NA,"San Juan, PR ", Managua,NA,Lockheed L-749A Constellation,HHABA,2615,149,147,0,Went missing en route.,miscellaneous,2,alive,Civilian,-66.590149,18.220833,
1747,1961,11,23,34,40,Campinas,Brazil,Aerolineas Argentinas,NA,Sao Paulo , Trinidad,NA,de Havilland Comet 4,LVAHR,6430,191,194,0,"After reaching an altitude of about 100 m, the aircraft lost altitude, collided with a eucalyptus forest and was destroyed. Pilot error. Failure to operate under IFR in adverse weather conditions at night. Failure to follow the climb procedure.",natural_cause,0,dead,Civilian,-47.073845,-22.9329252,
1748,1961,11,23,2,0,Sao Tomé,NA,Military - Força Aérea Portuguesa,NA,NA,NA,NA,Douglas C-54 Skymaster,NA,NA,167,108,0,NA,miscellaneous,59,alive,Military,6.733343,0.3301924,
1749,1961,11,30,2,0,Sydney,Australia,Ansett ANA,NA,Sydney , Canberra,NA,Vickers Viscount 720,VHTVC,46,56,61,0,"Crashed 9 minutes after taking off, into Botan Bay, 3 miles south of the airport . In-flight structural failure due to turbulence.",miscellaneous,0,dead,Civilian,151.2092955,-33.8688197,
1750,1961,12,4,2,0,Mainz,Germany,Lufthansa,NA,Training,NA,NA,Boeing 720-030B,DABOK,18058/202,149,147,0,Crashed into an open field in a steep dive after attempting an emergency landing.,technical_failure,2,alive,Civilian,8.2472526,49.9928617,
1751,1961,12,12,2,0,Chievres,Belgium,Military - Belgian Air Force,NA,NA,NA,NA,Fairchild C-119G / Fairchild C-119,CP23  CP25,10951/ 11082,36,44,8,Midair collision between two C-119s.,technical_failure,0,dead,Military,3.80609,50.58597,
1752,1961,12,15,2,0,Managua,Nicaragua,Lanica,NA,NA,NA,NA,Curtiss C-46,ANAOE,NA,102,103,0,The cargo plane cashed while attempting to land. Shifting cargo.,technical_failure,0,dead,Civilian,-86.2361744,12.1149926,
1753,1961,12,21,2,0,Ankara,Turkey,British European Airways,NA,Ankara , Nicosia,NA,de Havilland Comet 4B,GARJM,6456,163,137,0,"Shortly after taking off from Esenboga Airport, the aircraft assumed an excessively steep climbing angle, stalled and crashed. The probable cause of the accident was the obstruction of the pitch pointer in the captain's director horizon which led him to make an excessively steep climb. One of three screws had worked its way loose and blocked the pointer on the dial from indicating the correct pitch.",miscellaneous,26,alive,Civilian,32.8597419,39.9333635,
1754,1961,12,24,13,50,"Old Harbor, Kodiak Island",USA,Kodiak Airways,NA,Old Harbor , Kaguyak,NA,Grumman G-21A Goose,N1503V,1020,187,3,0,NA,miscellaneous,184,alive,Civilian,-153.3038889,57.2027778,
1755,1962,1,22,20,16,Caranavi ,Bolivia,Corporacion Boliviano de Fomento,NA,NA,NA,NA,Curtiss C-46D,CP541,33579,200,205,0,"The cargo plane's right wing tip struck a wall and then the plane crashed into a tree. Pilot error in failing to discontinue takeoff, even after the right wing tip hit the well and broke off, while the aircraft was on the ground during the takeoff run.",technical_failure,0,dead,Civilian,-67.5577831,-15.8355893,
1756,1962,1,27,2,0,Batataevka, USSR,Aeroflot,NA,NA,NA,NA,Antonov AN-10A,CCCP11148,NA,36,44,0,Crashed on takeoff. Engine failure,technical_failure,0,dead,Civilian,NA,NA,
1757,1962,2,4,13,5,Near Tino Maria,Peru,Faucett,NA,Huanuco , Pucallpa,NA,Douglas DC-3,OBPBH530,7331,87,90,0,"While flying at FL 150, the pilot radioed he was returning to Huanuco because of bad weather. Soon after, the plane was seen spiraling towards the ground and witnesses heard the engines accelerate before the aircraft hit a hill. Separation of the left elevator in flight.",natural_cause,0,dead,Civilian,-76.0000202,-9.2976466,
1758,1962,2,25,2,0,Portlamar, Margarita Island,Avensa,NA,Porlamar , Cumana,NA,Fairchild F-27,YVCEVH,12,120,119,0,"Approximately 10 minutes after takeoff , for a scheduled flight to Cumana, the aircraft crashed into the San Juan Mountains.",technical_failure,1,alive,Civilian,-94.0747071,30.0392256,
1759,1962,2,25,19,35,Municipio de Marulanda,Colombia,Avianca,NA,Manizales , Bogota,NA,Douglas C-47A,HK502,19653,102,103,0,"After taking off the crew of the cargo plane declaired an emergency and crashed shortly after. The faulty procedure on the part of the pilot who made the en route climb from Manizales to San Felix at a low altitude, so that the aircraft became trapped in a canyon and crashed in the San Felix pass at La Aguadita after stalling during a turn at 9,000 ft.",technical_failure,0,dead,Civilian,-75.2606524,5.2845918,
1760,1962,3,1,13,9,Jamaica Bay,USA,American Airlines,1,New York City , Los Angeles,NA,Boeing B-707-123B,N7506A,17633/12,240,257,0,"After taking off from Idlewild Airport and reaching a height of 1,500 feet, the aircraft made a left turn but continued to roll until it was inverted and crashed into Jamaica Bay approximately 3 miles southwest of the control tower. A rudder control malfunction which caused  a full unwanted rudder deployment, yaw, sideslip and roll which led to loss of control of the aircraft. This was caused by the use of an improper tool at the manufacturing plant to wrap the rudder servo unit's wiring, damaging the wires and leading to a short circuit. There is speculation that the accident was actually caused by the captain putting the aircraft in a steep 45 degree bank which resulted in the loss of control of the aircraft.",miscellaneous,0,dead,Civilian,-73.8713099,40.6056632,
1761,1962,3,4,23,20,Douala,Cameroon,Caledonian Airways,153,Douala , Lisboa,NA,Douglas DC-7C,GARUD,45160/754,16,20,0,The aircraft had a unusually long take-off run and appeared to gain altitude with difficulty. One and one-half miles from the runway the aircraft struck trees and crashed into a tidal swamp and burst into flames.  A jammed right elevator spring tab caused the crew to lose of control of the aircraft.,miscellaneous,0,dead,Civilian,9.7678687,4.0510564,
1762,1962,3,6,2,0,Near Seymour,South Africa,South African Airways,512,Grahamtown , Queentown,NA,Douglas DC-3,ZSDJC,16189/32937,212,103,0,"Crashed into a mountain. Error in judgement by the pilot-in-command who attempted a low visual flight, beneath the cloud base, near mountains, in deteriorating weather conditions.",mountain_crash,109,alive,Civilian,-85.8902547,38.9592201,
1763,1962,3,8,22,43,Mt. Medetsiz,Turkey,Turkish Airlines (THY),NA,Ankara , Adana,NA,Fairchild F-27,TCKOP,83,14,17,0,"Crashed into a mountain at an altitude of 6,800 ft. while en route in poor weather. In avoiding cumulus clouds and turbulent conditions the pilot was not able to keep track of his exact position or maintain exact altitude.",mountain_crash,0,dead,Civilian,34.6303945,37.3926333,
1764,1962,3,8,2,0,Rome,Italy,Societa Aerea Mediterranea,NA,Khartoum , Rome,NA,Douglas DC-6B,IDIMO,44254/456,187,188,0,The cargo plane crashed into Mt. Velino while en route.,technical_failure,0,dead,Civilian,12.4963655,41.9027835,
1765,1962,3,8,22,30,Near Alencon,France,Military - U.S. Air Force,NA,Training exercise,NA,NA,Lockheed C-130A Hercules,550020,3047,56,61,0,The transport was taking part in a parachute drop mission with five other aircraft when it crashed.,miscellaneous,0,dead,Military,0.091266,48.432856,
1766,1962,3,15,12,14,Adak,USA,Flying Tiger Line,7816,"Cold Bay, AK "," Adak, AK",NA,Lockheed 1049H Super Constellation,N6911C,4804,212,3,0,"Crashed into a rock embankment, 328 ft. short of runway threshold while attempting to land on Runway 23 and after being warned by ATC that the plane was below the glidepath. The main gear and right wing separated from the plane and a fire ensued. The pilot's misjudgment of distance and altitude during the final approach.",technical_failure,209,alive,Civilian,-176.6580556,51.88,
1767,1962,3,15,1,30,Western PacifiOcean, Philippine Sea,Flying Tiger Line,739/14,Travis AFB , Honolulu ," Agana, Guam ",Lockheed 1049H Super Constellation,N6921C,4817,11,14,0,"Lost at sea while en route from Guam to the Philippines. The crew of the SS T.L. Lenzen supertanker sighted a midair explosion at 00:30 local time, from their position at 13 degrees 44' N, 134 degrees 49' E.  The subsequent search of over 144,000 square miles found nothing. Cause undetermined.",miscellaneous,0,dead,Civilian,-124.508523,-8.783195,
1768,1962,3,20,2,0,Algeria,NA,Military - French Air Force,NA,NA,NA,NA,Nord 2501 Noratlas,204,NA,14,17,0,NA,miscellaneous,0,dead,Military,1.659626,28.033886,
1769,1962,3,27,22,45,Santiago de Cuba,Cuba,Cubana de Aviacion,NA,Santiago de Cuba , Havana,NA,Ilyushin IL-14,CUT819,NA,113,112,0,Crashed shortly after takeoff into the sea 1 mile offshore and sank. The weather was clear.,technical_failure,1,alive,Civilian,-75.8301537,20.01693,
1770,1962,4,6,20,0,Near Villavicencio,Colombia,Military - Colombian Air Force,NA,Bogota , Araracuara , Villavicencio,Douglas C-47,FAC563,NA,156,152,0,"Due to winds, the aircraft was 10 degrees off course as it prepared to land at Villavicencio and crashed into a 11,500 ft. mountain.",mountain_crash,4,alive,Military,-73.6285475,4.1491688,
1771,1962,4,22,2,0,Serrania del Baudo,Colombia,AVISPA,NA,Bahia Solano , Quibdo,NA,Douglas C-47A-1,HK524,12075,177,171,0,"Nothing was heard from the aircraft after departing Bahia Solano. The wreckage was found 4 days later, 31 miles from the airport on Bonito Peak at an elevation of 2,400ft.",miscellaneous,6,alive,Civilian,-77.2008604,6.1921589,
1772,1962,10,12,2,0,Near Camona,Spain,Iberia Airlines,NA,Barcelona , Valencia , Seville,Convair CV-440 -62,ECATB,443,87,90,0,Crashed into mountain while attempting to land.,mountain_crash,0,dead,Civilian,-111.0813381,45.7657633,
1773,1962,5,6,18,29,Near Portsmouth,England,East Anglian Flying Services,NA,"Jersey, Channel Islands "," Portsmouth, England",NA,Douglas C-47A,GAGZB,12180,87,31,0,"The plane descended to 1,000 ft while approaching Portsmouth in low clouds and drizzle and stuck St. Boniface and bust into flames. Pilot error. Crew flew below minimum safe altitude.",miscellaneous,56,alive,Civilian,-70.7625532,43.0717552,
1774,1962,5,8,2,0,Near Mong Pa Liao,Myanmar,Military - Union of Burma Air Force,NA,NA,NA,NA,Douglas C-47,UBBG707,NA,159,153,0,The plane crashed and burned in a ravine after experiencing engine failue.,miscellaneous,6,alive,Military,-77.1945247,41.2033216,
1775,1962,5,9,25,30,Vitoria,Brazil,Cruzeiro,NA,Rio de Janerio , Vitoria,NA,Convair CV-240-0,PPCEZ,25,126,119,0,Crashed into trees short of the runway while on approach. Approach not carried out in accordance with company procedures and misjudgement of his distance from the runway.,miscellaneous,7,alive,Civilian,-2.6728711,42.850237,
1776,1962,5,12,2,0,Godthaab,Greenland,East Provincial Airways,NA,Sondre Stromfjord , Godthab,NA,Consolidated Catalina,CFIHA,NA,107,61,0,"While landing on the water, the plane abruptly swerved to the right and sank in a short period of time. Because of a malfunction, the nose wheel doors were not closed and locked. The doors were torn off in the landing, allowing water to enter the wheel well severely damaging the aircraft.",technical_failure,46,alive,Civilian,-51.6941381,64.1814099,
1777,1962,5,15,2,0,Near Cairo,Egypt,United Arab Airlines,NA,"Cairo, Egypt  "," Beirut, Lebanon",NA,Douglas DC-3,SUAJM,NA,149,147,0,The cargo plane crashed shortly after taking off.,technical_failure,2,alive,Civilian,31.2357116,30.0444196,
